9	100.42	45.70	81.84	56.61	68.66
10	96.85	40.15	51.45	24.24	61.89
4	65.46	20.07	41.23	15.13	28.29
2	48.06	27.71	51.07	82.77	27.23
9	43.45	55.12	50.74	56.92	65.52
8	16.64	7.97	40.63	31.31	69.65
9	53.99	31.95	100.20	31.24	72.23
4	65.60	45.58	25.80	69.54	53.61
10	19.77	71.79	37.20	50.05	96.30
9	65.60	51.68	20.39	2.88	92.20
2	87.24	3.37	66.02	26.55	24.53
7	7.27	94.15	82.08	95.27	23.29
5	99.29	56.70	27.03	88.40	61.10
4	29.33	49.68	57.99	9.57	49.08
6	58.67	68.76	83.11	16.09	23.30
6	58.99	63.57	4.55	11.72	29.66
8	27.62	46.73	49.75	37.04	28.26
2	25.89	83.81	8.95	61.50	26.79
5	25.59	68.05	89.90	85.05	73.99
6	80.01	5.71	59.38	76.16	72.47
2	46.33	4.95	54.46	11.72	63.89
10	43.93	60.49	60.16	1.47	64.61
7	96.81	65.52	57.04	63.18	93.89
1	8.90	93.15	57.66	9.40	48.28
8	86.62	39.86	74.39	24.43	34.54
6	95.20	58.84	46.18	30.42	81.34
4	53.18	27.47	24.45	46.49	13.37
3	27.22	81.55	37.24	99.54	56.96
7	13.63	32.47	41.21	65.05	13.51
9	68.80	73.34	73.40	56.24	18.86
3	36.69	30.55	49.00	69.40	27.26
3	80.86	15.86	46.09	6.97	86.03
2	15.38	65.63	13.77	32.08	5.66
4	10.64	87.51	44.09	73.17	98.81
5	78.30	58.45	99.64	20.91	33.44
8	70.36	89.60	30.34	96.95	85.55
4	51.12	56.24	50.99	48.52	62.85
5	45.39	18.85	47.13	49.93	16.97
3	75.25	11.50	21.58	74.76	77.79
4	15.99	77.45	55.27	69.97	2.65
4	57.14	30.14	23.79	33.87	83.26
10	58.11	13.39	78.92	99.37	42.26
1	68.77	86.93	88.11	64.48	33.65
7	36.00	70.79	99.98	68.75	93.04
7	38.10	97.49	95.78	20.42	29.08
4	32.32	81.64	92.36	25.16	34.60
9	11.07	46.65	53.98	66.24	10.62
5	72.63	7.39	51.33	99.84	15.94
9	66.00	21.88	8.68	55.51	85.13
10	77.31	62.55	55.56	48.07	61.16
1	69.49	77.84	58.29	2.05	10.39
2	93.27	2.94	56.26	59.19	31.47
10	72.76	58.84	6.48	15.76	46.48
1	75.01	88.48	75.95	93.99	9.46
8	82.82	71.87	28.77	93.32	91.01
7	50.03	73.96	52.22	16.31	16.81
4	50.84	80.12	84.11	82.05	20.88
10	36.91	69.84	59.48	37.74	7.69
7	11.09	57.47	85.77	1.61	19.18
4	100.54	34.54	66.21	14.27	2.22
1	85.15	3.58	92.32	75.55	16.15
4	93.81	54.68	34.69	90.93	17.72
4	88.08	81.47	6.21	4.36	4.12
8	63.88	25.98	60.46	15.44	100.42
10	1.34	80.44	50.28	89.59	99.95
5	18.73	4.72	46.10	78.50	38.63
3	100.46	28.44	83.27	24.63	98.35
3	84.97	97.57	7.58	23.12	65.00
3	46.22	7.46	67.66	28.68	51.30
1	45.05	90.75	27.96	83.45	84.85
9	97.39	62.66	44.57	85.30	45.29
3	39.26	21.80	58.03	80.18	5.96
4	71.28	39.89	19.42	8.25	26.05
8	92.55	79.95	32.59	81.27	53.94
7	45.64	19.13	76.93	33.82	40.68
1	88.96	79.92	18.28	18.70	38.61
2	71.80	27.38	13.61	31.24	17.65
4	37.64	65.24	62.11	40.79	28.14
7	48.79	35.12	51.98	67.92	54.68
6	29.18	99.70	56.97	17.92	51.23
1	98.74	82.73	8.59	23.28	45.74
6	22.06	14.52	5.61	93.34	46.66
10	63.31	94.34	47.25	77.78	80.56
10	67.57	96.40	2.71	65.49	89.22
6	75.95	3.96	61.29	27.11	13.48
7	4.84	3.48	76.41	52.99	80.36
1	46.55	28.06	26.09	5.66	58.82
4	17.24	3.18	4.24	31.14	26.54
5	50.39	77.96	29.13	45.36	17.51
10	46.03	98.29	86.50	66.81	68.06
5	42.39	89.10	54.63	47.22	95.13
5	11.19	25.11	85.82	9.31	43.64
4	41.15	63.54	94.38	97.85	72.67
4	48.56	10.98	58.09	13.37	74.52
1	62.23	16.59	40.65	2.52	21.90
6	45.89	44.31	60.71	93.79	16.30
5	24.58	60.99	3.58	81.53	97.52
1	5.10	74.94	60.90	55.27	32.12
2	37.74	100.79	11.47	26.86	76.31
9	71.64	97.33	26.41	60.88	29.34
